"Date","NO2","NO","O3","SO2","PM10","Precip","Temp","Humid","season","O3.time.event.exceedance","PM10.time.event.exceedance"
2002-05-01,109.2,117.9,133.4,16,47,0.2,20.5,96.3,"summer",1,NA
2002-05-02,71.9,113.2,79.5,9.7,40,0,21,96.3,"summer",1,NA
2002-05-03,66.9,86.7,79,3.7,28,2.4,16.1,96.5,"summer",1,NA
2002-05-04,79.9,102.8,72.3,1.7,12,21.4,15.5,96.5,"summer",1,NA
2002-05-05,83.5,100.9,83.4,3,13,5.8,13.2,96.5,"summer",1,NA
2002-05-06,111.8,250.5,88.2,7.8,28,1.2,13.7,96.5,"summer",1,NA
2002-05-07,152.7,242.4,98.4,10.9,39,0.2,18,96.4,"summer",1,NA
2002-05-08,120.6,217,55.2,16.4,34,0,21.5,90,"summer",1,NA
2002-05-09,96.6,215.5,69.4,5.2,20,3,18.4,96.5,"summer",1,NA
2002-05-10,115.9,265,57.3,10,35,14,15.4,96.5,"summer",1,NA
2002-05-11,117.8,191.4,86.3,9,29,0.4,19,96.5,"summer",1,NA
2002-05-12,100.1,128,124.4,10.3,32,2.6,18.9,96.5,"summer",1,NA
2002-05-13,95.9,151,112.6,6.4,30,0,21.3,96.4,"summer",1,NA
2002-05-14,68.7,98.6,109.1,8.3,40,0,22.1,92.7,"summer",1,NA
2002-05-15,89.7,123,128.7,11.2,41,0,23.6,87.6,"summer",1,NA
2002-05-16,135.8,217.8,162.2,13.4,65,0,24.7,94.9,"summer",1,NA
2002-05-17,152.7,326.6,134.6,28.3,50,0,26.5,88.5,"summer",1,NA
2002-05-18,97.8,193.1,125.5,14.5,39,0,27.6,83.1,"summer",1,NA
2002-05-19,82,87,125.6,5.7,23,0,23.9,89.5,"summer",1,NA
2002-05-20,76.8,152.2,114.1,8.6,33,0,24.2,94.6,"summer",1,NA
2002-05-21,84,104.4,128.2,10.4,46,0,23.4,83.8,"summer",1,NA
2002-05-22,96.6,143.8,123.7,24.9,52,0,23.7,84.9,"summer",1,NA
2002-05-23,88.6,128.2,61.4,22.2,48,0,23.5,86.3,"summer",1,NA
2002-05-24,110.6,170.8,97.8,7.3,25,25.6,20.4,96.5,"summer",1,NA
2002-05-25,114.1,198.9,107.8,10.5,32,0.2,25,96.5,"summer",1,NA
2002-05-26,67.1,83.5,125.4,5.7,20,10,24.6,96.5,"summer",1,NA
2002-05-27,75.4,164.9,82.5,5.6,31,3.8,23.3,96.5,"summer",1,NA
2002-05-28,83.9,139.5,94.2,14.4,22,1.8,18.6,96.4,"summer",1,NA
2002-05-29,91.7,207.6,104.8,19.6,35,0.4,24,96.4,"summer",1,NA
2002-05-30,91.5,192.5,125,14.8,39,0,25.5,78.1,"summer",1,NA
2002-05-31,96.1,163.9,153.8,11,48,0,26.3,79.6,"summer",1,NA
2002-06-01,79.3,111.8,186.1,18.1,38,0,27.1,76.7,"summer",1,NA
2002-06-02,71.8,92.1,179.1,17.6,35,0,27.3,83.5,"summer",1,NA
2002-06-03,71.7,106.9,111.1,9.8,38,0,27.8,60.6,"summer",1,NA
2002-06-04,72.3,110,94.2,8.6,43,0,23.3,77.3,"summer",1,NA
2002-06-05,74.7,109.3,60.6,5.7,38,0,23.2,90.6,"summer",1,NA
2002-06-06,96.8,187.6,55.3,5.2,23,8.6,20.9,96.5,"summer",1,NA
2002-06-07,72.7,131.4,6.9,9.2,24,9,20.3,96.5,"summer",1,NA
2002-06-08,63.4,101.4,NA,0.7,23,0,21.1,96.4,"summer",1,NA
2002-06-09,83.2,119.6,NA,1.9,18,3.6,19.9,96.5,"summer",1,NA
2002-06-10,84.7,173.2,120.5,1.8,26,0.2,19.3,96.4,"summer",1,NA
2002-06-11,84.2,199.6,160.1,5.9,31,0,26.8,96.1,"summer",1,NA
2002-06-12,99.1,121.8,167,4.7,50,0,26.2,68.3,"summer",1,NA
2002-06-13,127.2,175.9,199.7,8.6,51,0,26.1,89.4,"summer",1,NA
2002-06-14,115.8,200.8,231.6,11.3,48,0,28.3,90.8,"summer",1,NA
2002-06-15,73.2,86.4,209.2,13.3,38,0,30.6,64.5,"summer",1,NA
2002-06-16,61,69.5,215.6,9.3,44,0,30.9,66.9,"summer",1,NA
2002-06-17,96.3,170.2,174.4,5.3,NA,0,31.7,68.2,"summer",1,NA
2002-06-18,100.3,122.6,225,5.3,NA,0,31.9,67.3,"summer",1,NA
2002-06-19,112.4,134.1,257,6.3,NA,0,32.4,83.8,"summer",1,NA
2002-06-20,101.3,118,114.2,9.3,NA,0,32.3,88.5,"summer",1,NA
