max_PM10,max_Precip,max_Precip_cut,max_Precip_cut_model
47,21.4,TRUE,19.8
39,14,TRUE,12.4
65,0,FALSE,0
52,25.6,TRUE,24
48,3.8,TRUE,2.2
43,9,TRUE,7.4
51,0.2,FALSE,0
29,0,FALSE,0
44,18.8,TRUE,17.2
34,10,TRUE,8.4
39,5.4,TRUE,3.8
39,26,TRUE,24.4
94,1.8,TRUE,0.2
116,0,FALSE,0
93,0.2,FALSE,0
131,2.8,TRUE,1.2
49,5,TRUE,3.4
75,7.6,TRUE,6
87,1.4,FALSE,0
116,1.6,FALSE,0
91,1.4,FALSE,0
79,3.4,TRUE,1.8
87,0.6,FALSE,0
74,4,TRUE,2.4
98,0.4,FALSE,0
172,0,FALSE,0
97,3.4,TRUE,1.8
100,0,FALSE,0
92,0,FALSE,0
125,1.4,FALSE,0
163,0,FALSE,0
134,0,FALSE,0
52,3.4,TRUE,1.8
67,1.2,FALSE,0
42,0,FALSE,0
42,3.8,TRUE,2.2
48,4,TRUE,2.4
45,9.4,TRUE,7.8
71,0,FALSE,0
50,0,FALSE,0
52,23.2,TRUE,21.6
44,1.8,TRUE,0.2
55,0,FALSE,0
56,0,FALSE,0
50,4.4,TRUE,2.8
48,2.8,TRUE,1.2
58,0,FALSE,0
54,0,FALSE,0
35,1.6,FALSE,0
45,1,FALSE,0
66,3.8,TRUE,2.2
105,3.8,TRUE,2.2
103,1.4,FALSE,0
100,1.8,TRUE,0.2
74,7.4,TRUE,5.8
50,4,TRUE,2.4
131,0.6,FALSE,0
186,0.4,FALSE,0
89,2.8,TRUE,1.2
46,3.8,TRUE,2.2
115,2.8,TRUE,1.2
132,1.6,FALSE,0
119,4,TRUE,2.4
99,0.2,FALSE,0
116,0.4,FALSE,0
121,0,FALSE,0
135,0,FALSE,0
90,3.6,TRUE,2
85,0,FALSE,0
30,7,TRUE,5.4
39,4.8,TRUE,3.2
45,0,FALSE,0
56,2.2,TRUE,0.6
48,0.8,FALSE,0
48,0,FALSE,0
54,0.2,FALSE,0
48,1.4,FALSE,0
56,0,FALSE,0
52,0.4,FALSE,0
50,4.4,TRUE,2.8
56,1.4,FALSE,0
64,7.4,TRUE,5.8
51,0,FALSE,0
46,20.2,TRUE,18.6
43,0,FALSE,0
39,0,FALSE,0
38,4.6,TRUE,3
43,4.2,TRUE,2.6
106,2,TRUE,0.4
87,2.4,TRUE,0.8
117,0,FALSE,0
134,7.8,TRUE,6.2
59,4.4,TRUE,2.8
147,0,FALSE,0
121,0.2,FALSE,0
105,2.2,TRUE,0.6
58,0,FALSE,0
71,0,FALSE,0
125,0,FALSE,0
124,2,TRUE,0.4
65,0,FALSE,0
91,0,FALSE,0
140,0,FALSE,0
123,0,FALSE,0
77,1.4,FALSE,0
85,1.4,FALSE,0
38,0.8,FALSE,0
45,4,TRUE,2.4
44,4.6,TRUE,3
64,2.6,TRUE,1
68,0,FALSE,0
41,0.4,FALSE,0
47,3.8,TRUE,2.2
58,0,FALSE,0
48,2.6,TRUE,1
33,7.8,TRUE,6.2
25,4.2,TRUE,2.6
46,6.4,TRUE,4.8
52,0,FALSE,0
59,12.8,TRUE,11.2
46,0,FALSE,0
30,2.2,TRUE,0.6
40,2.4,TRUE,0.8
49,21.4,TRUE,19.8
82,2.6,TRUE,1
84,2.6,TRUE,1
91,0,FALSE,0
61,0,FALSE,0
93,2.2,TRUE,0.6
81,4.8,TRUE,3.2
99,0.2,FALSE,0
109,0,FALSE,0
131,2,TRUE,0.4
71,0,FALSE,0
133,0.2,FALSE,0
103,0,FALSE,0
178,0,FALSE,0
139,1.2,FALSE,0
158,3.2,TRUE,1.6
155,0,FALSE,0
148,0.2,FALSE,0
51,2.8,TRUE,1.2
58,1.6,FALSE,0
49,3.4,TRUE,1.8
51,6.8,TRUE,5.2
53,3.4,TRUE,1.8
55,0,FALSE,0
34,7.6,TRUE,6
28,1.6,FALSE,0
31,0,FALSE,0
47,0,FALSE,0
50,2.4,TRUE,0.8
32,14,TRUE,12.4
31,4.6,TRUE,3
47,0,FALSE,0
34,4.6,TRUE,3
25,7.8,TRUE,6.2
23,0,FALSE,0
26,2,TRUE,0.4
39,14.4,TRUE,12.8
29,0.2,FALSE,0
42,0,FALSE,0
100,0,FALSE,0
145,0.6,FALSE,0
91,3.6,TRUE,2
78,0.8,FALSE,0
107,1.6,FALSE,0
121,2.2,TRUE,0.6
102,2,TRUE,0.4
95,0,FALSE,0
77,0,FALSE,0
136,0.2,FALSE,0
118,0.6,FALSE,0
84,1,FALSE,0
74,2.8,TRUE,1.2
119,0,FALSE,0
113,0.8,FALSE,0
89,1.6,FALSE,0
135,0,FALSE,0
87,0.8,FALSE,0
28,2.4,TRUE,0.8
35,1.2,FALSE,0
38,3.2,TRUE,1.6
38,0,FALSE,0
35,0.2,FALSE,0
30,0.6,FALSE,0
44,0,FALSE,0
34,0,FALSE,0
28,0,FALSE,0
16,0,FALSE,0
14,0,FALSE,0
28,0,FALSE,0
18,0,FALSE,0
67,0.6,FALSE,0
86,1,FALSE,0
63,3.2,TRUE,1.6
149,3.4,TRUE,1.8
114,2,TRUE,0.4
103,0.2,FALSE,0
88,0,FALSE,0
141,0,FALSE,0
109,0,FALSE,0
123,0,FALSE,0
118,1.8,TRUE,0.2
65,5.4,TRUE,3.8
96,3.2,TRUE,1.6
90,0,FALSE,0
113,2.8,TRUE,1.2
53,4.2,TRUE,2.6
97,0,FALSE,0
185,0,FALSE,0
123,0,FALSE,0
32,0.6,FALSE,0
40,0,FALSE,0
49,4.8,TRUE,3.2
32,17,TRUE,15.4
54,2,TRUE,0.4
45,16.4,TRUE,14.8
48,7,TRUE,5.4
45,1.2,FALSE,0
43,0,FALSE,0
39,13.4,TRUE,11.8
46,10,TRUE,8.4
34,5.6,TRUE,4
35,6.8,TRUE,5.2
49,15.4,TRUE,13.8
36,1.6,FALSE,0
31,5,TRUE,3.4
33,0,FALSE,0
45,0,FALSE,0
38,3,TRUE,1.4
46,19.2,TRUE,17.6
72,2.2,TRUE,0.6
68,32,TRUE,30.4
72,33.6,TRUE,32
66,5.4,TRUE,3.8
98,3,TRUE,1.4
90,5,TRUE,3.4
103,0.8,FALSE,0
92,0,FALSE,0
83,0.4,FALSE,0
176,2,TRUE,0.4
151,3.4,TRUE,1.8
81,3.6,TRUE,2
127,2.6,TRUE,1
65,6.8,TRUE,5.2
55,0.6,FALSE,0
189,0,FALSE,0
123,0,FALSE,0
29,0.8,FALSE,0
45,0.4,FALSE,0
42,1.4,FALSE,0
52,0,FALSE,0
40,0.2,FALSE,0
34,1.2,FALSE,0
32,0,FALSE,0
36,14.8,TRUE,13.2
29,6.8,TRUE,5.2
30,12.6,TRUE,11
37,78,TRUE,76.4
43,12.2,TRUE,10.6
38,7.2,TRUE,5.6
48,1.2,FALSE,0
29,7.2,TRUE,5.6
35,7.8,TRUE,6.2
36,1.4,FALSE,0
36,3,TRUE,1.4
56,6.4,TRUE,4.8
43,3.6,TRUE,2
80,0.6,FALSE,0
98,0.6,FALSE,0
56,7.4,TRUE,5.8
54,3,TRUE,1.4
97,0.2,FALSE,0
93,1.6,FALSE,0
82,4,TRUE,2.4
99,0.8,FALSE,0
97,0.2,FALSE,0
91,3,TRUE,1.4
125,1.2,FALSE,0
119,0,FALSE,0
140,0.8,FALSE,0
95,4.8,TRUE,3.2
114,1,FALSE,0
57,5,TRUE,3.4
76,5.8,TRUE,4.2
34,12,TRUE,10.4
29,40.6,TRUE,39
42,5,TRUE,3.4
43,0,FALSE,0
35,6.6,TRUE,5
33,0,FALSE,0
43,4.2,TRUE,2.6
22,11.8,TRUE,10.2
41,0,FALSE,0
43,0,FALSE,0
43,0.8,FALSE,0
40,0,FALSE,0
33,1.2,FALSE,0
26,2.6,TRUE,1
31,17.4,TRUE,15.8
25,13,TRUE,11.4
36,0,FALSE,0
32,0,FALSE,0
38,7.2,TRUE,5.6
63,2,TRUE,0.4
88,5.8,TRUE,4.2
48,5.2,TRUE,3.6
49,2.4,TRUE,0.8
54,1.8,TRUE,0.2
102,0.4,FALSE,0
117,1,FALSE,0
95,4.2,TRUE,2.6
119,0,FALSE,0
164,0,FALSE,0
82,1.8,TRUE,0.2
157,0,FALSE,0
135,0,FALSE,0
130,0.2,FALSE,0
174,0,FALSE,0
137,3.8,TRUE,2.2
73,0.6,FALSE,0
83,0.8,FALSE,0
33,0,FALSE,0
51,0,FALSE,0
40,2.8,TRUE,1.2
40,0,FALSE,0
41,14.4,TRUE,12.8
36,6.4,TRUE,4.8
35,11.2,TRUE,9.6
47,0.2,FALSE,0
51,1.2,FALSE,0
34,4.4,TRUE,2.8
48,1.2,FALSE,0
24,1.8,TRUE,0.2
22,1.2,FALSE,0
114,0,FALSE,0
66,6.4,TRUE,4.8
105,0.2,FALSE,0
114,0,FALSE,0
135,0,FALSE,0
147,0,FALSE,0
88,0.8,FALSE,0
84,0,FALSE,0
110,0,FALSE,0
81,0,FALSE,0
101,2.2,TRUE,0.6
104,0,FALSE,0
171,0,FALSE,0
126,0,FALSE,0
59,0.8,FALSE,0
143,0,FALSE,0
149,0.6,FALSE,0
228,0.8,FALSE,0
77,0,FALSE,0
38,2.6,TRUE,1
58,3.6,TRUE,2
55,2.6,TRUE,1
97,0,FALSE,0
94,3.6,TRUE,2
37,0.8,FALSE,0
88,0.4,FALSE,0
66,0,FALSE,0
105,0,FALSE,0
44,0,FALSE,0
55,0.6,FALSE,0
76,1.8,TRUE,0.2
61,9.4,TRUE,7.8
33,4.6,TRUE,3
61,1,FALSE,0
89,0,FALSE,0
103,0,FALSE,0
79,1.8,TRUE,0.2
44,5.4,TRUE,3.8
33,2.4,TRUE,0.8
110,3.4,TRUE,1.8
67,0,FALSE,0
46,4,TRUE,2.4
64,0.6,FALSE,0
61,3.2,TRUE,1.6
27,3.2,TRUE,1.6
46,3,TRUE,1.4
44,5.4,TRUE,3.8
54,5.6,TRUE,4
19,9,TRUE,7.4
31,0,FALSE,0
24,0.4,FALSE,0
34,3.2,TRUE,1.6
22,1,FALSE,0
44,3.6,TRUE,2
44,21.6,TRUE,20
31,3,TRUE,1.4
23,17.6,TRUE,16
25,2.4,TRUE,0.8
23,20.2,TRUE,18.6
41,6.4,TRUE,4.8
24,13.4,TRUE,11.8
29,18,TRUE,16.4
