max_PM10,max_Precip
47,21.4
39,14
65,0
52,25.6
48,3.8
43,9
51,0.2
29,0
44,18.8
34,10
39,5.4
39,26
94,1.8
116,0
93,0.2
131,2.8
49,5
75,7.6
87,1.4
116,1.6
91,1.4
79,3.4
87,0.6
74,4
98,0.4
172,0
97,3.4
100,0
92,0
125,1.4
163,0
134,0
52,3.4
67,1.2
42,0
42,3.8
48,4
45,9.4
71,0
50,0
52,23.2
44,1.8
55,0
56,0
50,4.4
48,2.8
58,0
54,0
35,1.6
45,1
66,3.8
105,3.8
103,1.4
100,1.8
74,7.4
50,4
131,0.6
186,0.4
89,2.8
46,3.8
115,2.8
132,1.6
119,4
99,0.2
116,0.4
121,0
135,0
90,3.6
85,0
30,7
39,4.8
45,0
56,2.2
48,0.8
48,0
54,0.2
48,1.4
56,0
52,0.4
50,4.4
56,1.4
64,7.4
51,0
46,20.2
43,0
39,0
38,4.6
43,4.2
106,2
87,2.4
117,0
134,7.8
59,4.4
147,0
121,0.2
105,2.2
58,0
71,0
125,0
124,2
65,0
91,0
140,0
123,0
77,1.4
85,1.4
38,0.8
45,4
44,4.6
64,2.6
68,0
41,0.4
47,3.8
58,0
48,2.6
33,7.8
25,4.2
46,6.4
52,0
59,12.8
46,0
30,2.2
40,2.4
49,21.4
82,2.6
84,2.6
91,0
61,0
93,2.2
81,4.8
99,0.2
109,0
131,2
71,0
133,0.2
103,0
178,0
139,1.2
158,3.2
155,0
148,0.2
51,2.8
58,1.6
49,3.4
51,6.8
53,3.4
55,0
34,7.6
28,1.6
31,0
47,0
50,2.4
32,14
31,4.6
47,0
34,4.6
25,7.8
23,0
26,2
39,14.4
29,0.2
42,0
100,0
145,0.6
91,3.6
78,0.8
107,1.6
121,2.2
102,2
95,0
77,0
136,0.2
118,0.6
84,1
74,2.8
119,0
113,0.8
89,1.6
135,0
87,0.8
28,2.4
35,1.2
38,3.2
38,0
35,0.2
30,0.6
44,0
34,0
28,0
16,0
14,0
28,0
18,0
67,0.6
86,1
63,3.2
149,3.4
114,2
103,0.2
88,0
141,0
109,0
123,0
118,1.8
65,5.4
96,3.2
90,0
113,2.8
53,4.2
97,0
185,0
123,0
32,0.6
40,0
49,4.8
32,17
54,2
45,16.4
48,7
45,1.2
43,0
39,13.4
46,10
34,5.6
35,6.8
49,15.4
36,1.6
31,5
33,0
45,0
38,3
46,19.2
72,2.2
68,32
72,33.6
66,5.4
98,3
90,5
103,0.8
92,0
83,0.4
176,2
151,3.4
81,3.6
127,2.6
65,6.8
55,0.6
189,0
123,0
29,0.8
45,0.4
42,1.4
52,0
40,0.2
34,1.2
32,0
36,14.8
29,6.8
30,12.6
37,78
43,12.2
38,7.2
48,1.2
29,7.2
35,7.8
36,1.4
36,3
56,6.4
43,3.6
80,0.6
98,0.6
56,7.4
54,3
97,0.2
93,1.6
82,4
99,0.8
97,0.2
91,3
125,1.2
119,0
140,0.8
95,4.8
114,1
57,5
76,5.8
34,12
29,40.6
42,5
43,0
35,6.6
33,0
43,4.2
22,11.8
41,0
43,0
43,0.8
40,0
33,1.2
26,2.6
31,17.4
25,13
36,0
32,0
38,7.2
63,2
88,5.8
48,5.2
49,2.4
54,1.8
102,0.4
117,1
95,4.2
119,0
164,0
82,1.8
157,0
135,0
130,0.2
174,0
137,3.8
73,0.6
83,0.8
33,0
51,0
40,2.8
40,0
41,14.4
36,6.4
35,11.2
47,0.2
51,1.2
34,4.4
48,1.2
24,1.8
22,1.2
114,0
66,6.4
105,0.2
114,0
135,0
147,0
88,0.8
84,0
110,0
81,0
101,2.2
104,0
171,0
126,0
59,0.8
143,0
149,0.6
228,0.8
77,0
38,2.6
58,3.6
55,2.6
97,0
94,3.6
37,0.8
88,0.4
66,0
105,0
44,0
55,0.6
76,1.8
61,9.4
33,4.6
61,1
89,0
103,0
79,1.8
44,5.4
33,2.4
110,3.4
67,0
46,4
64,0.6
61,3.2
27,3.2
46,3
44,5.4
54,5.6
19,9
31,0
24,0.4
34,3.2
22,1
44,3.6
44,21.6
31,3
23,17.6
25,2.4
23,20.2
41,6.4
24,13.4
29,18
24,2.4
22,3
23,9
35,0
86,0
54,10.4
56,20.2
76,3.6
100,3
32,4.6
68,12.8
76,1.8
49,1.6
41,0
73,0
81,0
85,4.4
69,3
58,1.6
89,3.2
127,3.8
77,3.8
63,1.2
47,2.8
53,1.6
34,7.8
19,4.8
26,9.6
46,0
37,3.4
33,0.4
28,2.4
51,0.2
37,0
42,0
34,0
30,3.4
40,12.2
38,3.6
34,3.2
34,0.2
68,0
77,0.6
93,0
55,1
75,0
105,0
88,0
98,0.2
75,0
45,0
68,2.8
52,2.4
54,0
103,0
136,1
48,4
51,1.2
77,0.6
46,3.6
18,4
34,1.6
26,8.6
21,6.4
42,29.6
23,15.2
22,20.2
31,10.6
53,6.4
33,3.6
38,5.4
36,9.4
33,3.8
26,19.6
27,10.8
23,8
31,0.4
29,10.8
53,0
67,6
66,0.4
102,3.2
37,2.6
90,0
88,0
78,0.4
76,0.2
67,0
127,0
68,0.6
69,0.8
82,0
155,1
39,4.6
64,1.4
95,0
45,2
20,6.2
30,2.2
27,11
33,2
26,0
37,14
44,0.2
29,0
29,11
22,0
31,0.8
31,1.4
28,0.6
40,1.6
43,13.4
27,3.2
33,5.2
36,0
